decision_id,card_type,faithfulness,hallucination_control,ml_explanation,risk_awareness,monitoring_usefulness,clarity_usefulness,overall,major_issue
2025Q1_SCR_01,rule_based_baseline,,,,,,,,
2025Q1_SCR_01,llm_ml_only,,,,,,,,
2025Q1_SCR_01,llm_full_evidence,,,,,,,,
2025Q1_VHM_02,rule_based_baseline,,,,,,,,
2025Q1_VHM_02,llm_ml_only,,,,,,,,
2025Q1_VHM_02,llm_full_evidence,,,,,,,,
2025Q1_VIC_03,rule_based_baseline,,,,,,,,
2025Q1_VIC_03,llm_ml_only,,,,,,,,
2025Q1_VIC_03,llm_full_evidence,,,,,,,,
2025Q1_SHB_04,rule_based_baseline,,,,,,,,
2025Q1_SHB_04,llm_ml_only,,,,,,,,
2025Q1_SHB_04,llm_full_evidence,,,,,,,,
2025Q1_BSI_05,rule_based_baseline,,,,,,,,
2025Q1_BSI_05,llm_ml_only,,,,,,,,
2025Q1_BSI_05,llm_full_evidence,,,,,,,,
2025Q2_STB_01,rule_based_baseline,,,,,,,,
2025Q2_STB_01,llm_ml_only,,,,,,,,
2025Q2_STB_01,llm_full_evidence,,,,,,,,
2025Q2_DXG_02,rule_based_baseline,,,,,,,,
2025Q2_DXG_02,llm_ml_only,,,,,,,,
2025Q2_DXG_02,llm_full_evidence,,,,,,,,
2025Q2_VBB_03,rule_based_baseline,,,,,,,,
2025Q2_VBB_03,llm_ml_only,,,,,,,,
2025Q2_VBB_03,llm_full_evidence,,,,,,,,
2025Q2_MSN_04,rule_based_baseline,,,,,,,,
2025Q2_MSN_04,llm_ml_only,,,,,,,,
2025Q2_MSN_04,llm_full_evidence,,,,,,,,
2025Q2_VND_05,rule_based_baseline,,,,,,,,
2025Q2_VND_05,llm_ml_only,,,,,,,,
2025Q2_VND_05,llm_full_evidence,,,,,,,,
2025Q3_LPB_01,rule_based_baseline,,,,,,,,
2025Q3_LPB_01,llm_ml_only,,,,,,,,
2025Q3_LPB_01,llm_full_evidence,,,,,,,,
2025Q3_VIC_02,rule_based_baseline,,,,,,,,
2025Q3_VIC_02,llm_ml_only,,,,,,,,
2025Q3_VIC_02,llm_full_evidence,,,,,,,,
2025Q3_VRE_03,rule_based_baseline,,,,,,,,
2025Q3_VRE_03,llm_ml_only,,,,,,,,
2025Q3_VRE_03,llm_full_evidence,,,,,,,,
2025Q3_KDH_04,rule_based_baseline,,,,,,,,
2025Q3_KDH_04,llm_ml_only,,,,,,,,
2025Q3_KDH_04,llm_full_evidence,,,,,,,,
2025Q3_SCR_05,rule_based_baseline,,,,,,,,
2025Q3_SCR_05,llm_ml_only,,,,,,,,
2025Q3_SCR_05,llm_full_evidence,,,,,,,,
2025Q4_GAS_01,rule_based_baseline,,,,,,,,
2025Q4_GAS_01,llm_ml_only,,,,,,,,
2025Q4_GAS_01,llm_full_evidence,,,,,,,,
2025Q4_MCH_02,rule_based_baseline,,,,,,,,
2025Q4_MCH_02,llm_ml_only,,,,,,,,
2025Q4_MCH_02,llm_full_evidence,,,,,,,,
2025Q4_ABB_03,rule_based_baseline,,,,,,,,
2025Q4_ABB_03,llm_ml_only,,,,,,,,
2025Q4_ABB_03,llm_full_evidence,,,,,,,,
2025Q4_ELC_04,rule_based_baseline,,,,,,,,
2025Q4_ELC_04,llm_ml_only,,,,,,,,
2025Q4_ELC_04,llm_full_evidence,,,,,,,,
2025Q4_VBB_05,rule_based_baseline,,,,,,,,
2025Q4_VBB_05,llm_ml_only,,,,,,,,
2025Q4_VBB_05,llm_full_evidence,,,,,,,,
2026Q1_GMD_01,rule_based_baseline,,,,,,,,
2026Q1_GMD_01,llm_ml_only,,,,,,,,
2026Q1_GMD_01,llm_full_evidence,,,,,,,,
2026Q1_EVF_02,rule_based_baseline,,,,,,,,
2026Q1_EVF_02,llm_ml_only,,,,,,,,
2026Q1_EVF_02,llm_full_evidence,,,,,,,,
2026Q1_DPM_03,rule_based_baseline,,,,,,,,
2026Q1_DPM_03,llm_ml_only,,,,,,,,
2026Q1_DPM_03,llm_full_evidence,,,,,,,,
2026Q1_DCM_04,rule_based_baseline,,,,,,,,
2026Q1_DCM_04,llm_ml_only,,,,,,,,
2026Q1_DCM_04,llm_full_evidence,,,,,,,,
2026Q1_REE_05,rule_based_baseline,,,,,,,,
2026Q1_REE_05,llm_ml_only,,,,,,,,
2026Q1_REE_05,llm_full_evidence,,,,,,,,
